trade_date,market_avg_price,market_avg_volume,market_avg_rsi,stocks_traded,buy_signals,sell_signals,oversold_count,overbought_count
2022-06-22,418.49799999999993,3.90698856E7,35.00742738444057,10,2,8,3,0
2001-01-30,36.056,1.267714E7,69.09323066415422,5,5,0,0,3
2001-07-17,42.46,1.219758E7,49.28851057602308,5,3,2,0,1
2002-02-27,32.358,1.625532E7,48.0427194571821,5,1,4,0,1
2002-08-29,18.700000000000003,1.1378133333333334E7,55.02227604266435,6,3,3,0,0
2003-07-16,23.505,1.2872183333333334E7,63.237777636143925,6,5,1,0,2
2003-08-20,24.285,1.50483E7,57.384484255018656,6,5,1,0,1
2004-07-08,26.812857142857144,1.2635714285714285E7,43.34498692663136,7,1,6,0,0
2006-06-30,79.77,1.7266875E7,63.438641871437355,8,4,4,0,3
2006-09-07,76.5425,1.9966225E7,53.696012580350434,8,8,0,0,0
2006-12-22,90.96374999999999,1.1507908375E7,41.120226767900874,8,3,5,3,0
2007-10-09,129.77997499999998,1.95074125E7,78.1631548526979,8,8,0,0,6
2008-02-14,109.38,2.51613625E7,46.6113973979311,8,3,5,1,1
2010-04-14,151.125,1.93223875E7,73.43376410970171,8,8,0,0,5
2010-06-10,139.52124999999998,2.08905625E7,55.61857417962248,8,2,6,0,1
2010-12-01,164.8433333333333,1.7605088888888888E7,54.2016430396877,9,6,3,1,1
2011-11-14,167.87666666666667,1.05499E7,54.64534961474458,9,5,4,0,0
2012-03-30,200.64,1.1261433333333334E7,66.14747164927991,9,9,0,0,3
2013-02-04,191.6785,2.076644E7,54.07296610976812,10,5,5,0,2
2013-09-12,227.77999999999997,1.688358E7,62.601506887521396,10,9,1,0,3
2014-01-24,278.6864999999999,2.309636E7,52.31722991694731,10,4,6,0,0
2014-06-11,181.46710000000002,1.507739E7,63.75647775160927,10,9,1,1,4
2015-09-28,181.515,1.68969874E7,47.05609361621849,10,1,9,0,0
2016-11-08,236.94699999999997,1.32296584E7,50.822611070396405,10,6,4,1,1
2016-12-19,238.827,1.59995973E7,61.0744651634886,10,9,1,0,3
2017-01-24,257.44300000000004,1.38849675E7,75.02102744967092,10,9,1,0,7
2018-11-01,427.09800000000007,3.06340327E7,47.10708921726377,10,2,8,0,1
2020-03-13,492.1785,3.81640312E7,37.96734377620891,10,0,10,1,0
2020-09-24,667.175,4.06486563E7,34.378886687503254,10,0,10,2,0
2020-12-18,763.3195,5.9169726E7,55.372378047107226,10,7,3,0,2
2022-03-16,814.8960000000001,4.08660896E7,49.207035895686566,10,8,2,0,0
2022-06-06,445.87,4.38740607E7,51.55266101180263,10,8,2,1,0
2022-11-21,151.138,4.15612886E7,51.98190852166566,10,7,3,1,0
2023-02-08,184.599,6.30293947E7,74.07016501959565,10,10,0,0,8
2023-06-23,248.49099999999999,5.43430273E7,57.9129274718495,10,7,3,0,1
2025-04-17,304.066,5.90835673E7,42.52763520677135,10,1,9,0,0
2000-07-05,59.288,7704960.0,38.83148187820719,5,1,4,2,0
2000-10-13,38.251999999999995,1.955954E7,27.060941791394708,5,0,5,3,0
2003-05-12,21.365,1.7185116666666668E7,66.19682534522006,6,5,1,1,3
2003-06-04,22.51666666666667,1.9185933333333332E7,51.3032565906982,6,3,3,0,1
2003-07-31,23.62,1.5148333333333334E7,47.17237039441392,6,3,3,1,0
2006-11-16,97.8775,1.7440445875E7,68.9843888507997,8,8,0,0,2
2006-12-18,92.77874999999999,1.79183E7,41.409896143029805,8,3,5,2,0
2008-04-28,120.20374999999999,2.1080325E7,57.03250418709602,8,5,3,0,1
2008-06-24,118.62625,2.151925E7,39.284785686881875,8,0,8,1,0
2008-09-02,105.575,1.96887875E7,43.08742973573286,8,2,6,2,1
2009-05-01,90.18875,1.60116875E7,54.69977926454112,8,6,2,0,0
2010-08-25,124.53888888888893,1.4881088888888888E7,40.93564891049592,9,5,4,4,0
2010-09-22,143.70333333333332,2.1277011111111112E7,74.22289140987428,9,8,1,0,5
2011-04-06,171.6566666666667,1.5859344444444444E7,64.47860832111404,9,5,4,0,3
2011-06-21,165.06333333333336,1.4188722222222222E7,36.310689826293924,9,2,7,3,0
2012-05-02,194.54222222222222,1.0840611111111112E7,44.244305609218365,9,4,5,3,1
2012-09-11,191.161,1.500505E7,48.36752591954903,10,5,5,1,1
2013-11-18,253.74989999999997,2.1646E7,51.97192063526778,10,7,3,1,0
2014-02-18,294.112,1.331598E7,68.29720004728281,10,9,1,0,5
2014-08-13,191.37099999999998,1.405826E7,54.85659775389901,10,7,3,0,2
2015-03-12,190.95800000000003,1.63112351E7,40.113925794405205,10,4,6,3,0
2015-03-16,188.94,1.20702311E7,42.250528665775846,10,3,7,3,0
2015-04-01,185.68699999999998,1.33056828E7,45.67423394595834,10,1,9,0,0
2015-04-24,214.74200000000002,2.53847728E7,64.84357047269529,10,8,2,0,5
2016-08-23,231.95300000000003,1.06118064E7,60.96862693668909,10,7,3,0,3
2017-06-29,303.388,2.2402118E7,45.56243486747417,10,1,9,0,0
2017-09-29,314.19399999999996,1.24163695E7,45.75759945487404,10,4,6,1,0
2020-02-04,594.4870000000001,2.25473267E7,61.97948631178622,10,8,2,0,3
2021-07-23,881.973,2.08000206E7,51.15506088884207,10,7,3,1,2
2022-07-07,441.63499999999993,3.41692185E7,55.42324416408064,10,8,2,0,0
2023-11-29,273.866,3.79241348E7,67.3842193070685,10,10,0,0,3
2024-08-30,294.562,5.94075488E7,62.665244807529916,10,9,1,0,2
2024-10-02,308.556,4.48182434E7,62.35677715440918,10,8,2,0,3
2025-02-05,375.21799999999996,6.2294219E7,56.41141507523238,10,4,6,0,2
2001-03-21,32.982,1.765876E7,51.60304298628887,5,3,2,0,0
2001-05-17,45.010000000000005,1.59207E7,50.20159865976967,5,2,3,0,0
2001-06-14,44.62,1.125184E7,36.36486380635576,5,1,4,1,0
2001-08-16,39.53,8935400.0,42.17607079775557,5,1,4,1,0
2004-04-22,28.595,2.2787933333333332E7,47.54575585350736,6,3,3,2,0
2004-10-26,43.70875,2.18163625E7,49.21939416719776,8,5,3,2,2
2006-06-14,74.55875,2.1590075E7,35.58632767105691,8,2,6,3,0
2007-01-31,96.07499999999999,2.2144425E7,42.54707564846472,8,4,4,3,0
2009-02-09,80.67375000000001,1.610285E7,74.28528850345066,8,8,0,0,5
2009-08-21,107.53374999999998,1.79000125E7,55.28058434253618,8,8,0,0,1
2010-07-22,125.376,1.8698222222222224E7,60.54510821309662,9,7,2,0,2
2011-08-30,174.7477777777778,1.4132355555555556E7,57.994479729752506,9,7,2,0,0
2012-08-06,178.70300000000003,1.068996E7,48.38849419210155,10,6,4,4,2
2013-05-02,191.75,2.648906E7,61.26561693061992,10,8,2,1,4
2013-08-14,219.333,2.002471E7,60.08037459181518,10,8,2,0,1
2014-11-17,182.7375,1.3746951E7,57.23865330447702,10,6,4,1,3
2015-03-11,188.71800000000002,1.54902679E7,41.09206639225495,10,1,9,1,0
2015-06-15,222.0125,1.23501286E7,51.80553577349117,10,3,7,0,0
2015-10-16,195.67399999999998,1.59270408E7,70.40204426388556,10,7,3,0,7
2017-02-16,263.20149999999995,1.43523196E7,58.50758151689445,10,9,1,0,2
2017-07-31,309.601,1.75884597E7,60.22993491009273,10,6,4,0,2
2018-03-23,389.4129999999999,2.44329348E7,34.240036248847524,10,0,10,4,0
2019-01-07,404.99600000000004,2.81011292E7,49.65655003389038,10,7,3,0,0
2019-01-08,409.99500000000006,2.81801996E7,55.09955741789521,10,9,1,0,1
2022-03-15,784.64,3.58898733E7,50.12411446004414,10,0,10,0,0
2022-12-09,155.417,4.53480045E7,47.771641443780936,10,3,7,0,0
2024-01-11,292.42199999999997,4.12586003E7,58.0078862987462,10,8,2,1,2
2024-07-08,311.464,6.06359221E7,68.93188578054811,10,9,1,0,5
2025-02-13,377.372,4.78395316E7,51.582604200092156,10,4,6,1,2
2025-05-13,369.307,7.26466391E7,79.17258747652116,10,10,0,0,7
1999-12-22,77.5,5972100.0,56.960281207821936,5,3,2,0,1
2000-03-08,83.738,1.272672E7,56.646350640576564,5,3,2,0,1
2000-08-25,55.374,7902580.0,55.92696178168027,5,3,2,1,1
2002-07-26,17.891666666666666,1.4075933333333334E7,31.6499131101412,6,0,6,2,0
2003-03-07,15.815,1.5036266666666666E7,51.808240638269574,6,3,3,1,1
2004-05-21,26.811666666666667,1.2763416666666666E7,52.84204767581403,6,2,4,0,1
2004-11-01,46.863749999999996,1.67032E7,59.822208616403366,8,5,3,2,4
2004-11-05,44.556250000000006,2.64852625E7,67.09489531993734,8,6,2,0,3
2009-10-15,122.03,2.078055E7,63.551379872191944,8,7,1,0,3
2010-06-11,140.96999999999997,1.68832375E7,55.67897948178458,8,4,4,0,1
2011-07-06,180.72444444444443,1.1897677777777778E7,65.57322568346336,9,7,2,0,4
2012-01-09,166.31111111111113,1.6742255555555556E7,60.22686055994773,9,5,4,0,2
2013-09-18,230.41409999999996,2.151626E7,69.4858922472967,10,9,1,0,6
2015-11-02,208.53400000000002,1.20737358E7,67.22175246290215,10,9,1,0,6
2015-11-27,219.31600000000003,4625626.6,51.61742675346579,10,8,2,0,0
2015-12-31,218.792,1.21274963E7,49.86525133532605,10,5,5,1,0
2016-02-04,188.792,1.91488451E7,42.26791407206072,10,1,9,2,0
2016-05-26,218.48899999999998,1.59982966E7,71.39917555276854,10,10,0,0,6
2016-06-02,219.64700000000002,1.38258009E7,69.58016966883099,10,10,0,0,5
2017-08-14,313.26300000000003,1.70719094E7,45.834638556634175,10,6,4,1,0
2017-08-18,306.068,1.32525953E7,45.14761660045721,10,2,8,1,0
2017-10-23,319.676,1.37568559E7,65.92023707189318,10,6,4,0,3
2019-01-28,406.416,2.94563997E7,53.83388848047775,10,8,2,0,0
2022-12-02,162.446,4.23842741E7,53.027684417023906,10,8,2,0,0
2023-03-24,192.49999999999997,4.47670494E7,64.79261910371423,10,10,0,0,4
2023-09-27,238.10499999999996,4.52381119E7,31.795216027479974,10,0,10,3,0
2024-09-10,286.41999999999996,5.38453293E7,36.486948593047664,10,2,8,2,0
2024-11-29,344.93399999999997,2.91694822E7,50.7426520689369,10,7,3,0,2
2025-05-15,373.89700000000005,5.56315914E7,73.23463133438463,10,10,0,0,6
1999-11-17,62.826,1.006588E7,61.921821399412764,5,4,1,1,2
2003-12-15,29.63166666666667,2.0440683333333332E7,45.18854724440697,6,1,5,1,1
2004-04-15,29.859166666666667,2.4505433333333332E7,61.552889797606504,6,4,2,0,2
2006-03-07,80.4975,1.6411075E7,54.50851226169972,8,3,5,0,0
2011-04-27,171.24777777777777,1.4298511111111112E7,57.69347870392856,9,7,2,0,1
2013-07-18,215.46980000000002,1.917011E7,72.77303145391892,10,10,0,0,6
2013-09-20,233.67459999999997,3.847527E7,70.40980775224779,10,9,1,0,6
2013-09-25,231.78579999999997,1.771883E7,65.4097112389526,10,8,2,0,5
2014-06-13,179.589,1.486802E7,57.61361215647813,10,9,1,1,2
2014-09-04,200.03900000000002,1.836343E7,66.11326834482864,10,8,2,0,4
2018-08-31,488.80699999999996,1.83347986E7,62.93177370780529,10,7,3,1,4
2019-01-30,414.954,4.23366457E7,54.71745984037798,10,8,2,0,0
2019-03-14,434.50700000000006,1.48117233E7,59.11008580290919,10,8,2,0,3
2019-07-30,460.717,1.62550529E7,51.4446076181202,10,5,5,2,2
2020-02-12,606.4490000000001,1.70737236E7,62.65717324242994,10,9,1,0,3
2020-12-17,764.4399999999999,2.55690531E7,56.271711240278776,10,7,3,1,2
2021-03-22,781.0509999999999,2.69860277E7,50.140229690902885,10,5,5,0,1
2021-05-03,852.634,2.29160608E7,44.571548122483456,10,3,7,1,0
2021-10-08,885.613,1.64172295E7,54.32359808883149,10,6,4,0,2
2022-02-25,820.899,3.83847266E7,41.64180488783025,10,2,8,0,0
2022-10-19,155.41,4.30939393E7,48.33878815759623,10,3,7,1,0
2022-12-20,144.574,4.96822394E7,27.305412326699855,10,1,9,6,0
2023-11-17,271.01000000000005,4.13083347E7,83.13199798432825,10,10,0,0,10
2024-08-05,267.213,1.058618277E8,26.229059142041642,10,0,10,7,0
2024-10-25,319.801,5.18893748E7,59.488767668357255,10,8,2,1,1
2001-05-10,43.302,1.135684E7,45.81335137264259,5,2,3,0,0
2001-06-05,46.5,1.557228E7,56.91347835233604,5,3,2,0,0
2001-09-24,23.145999999999997,1.488562E7,24.522858793576265,5,0,5,3,0
2001-11-16,31.962,1.103828E7,71.69795869961213,5,5,0,0,2
2002-07-17,21.31,1.6773366666666666E7,49.749932387051395,6,2,4,0,0
2002-09-24,16.815,1.2892616666666666E7,38.159439185957645,6,1,5,2,0
2005-08-08,62.55375,1.3726125E7,58.2103872088136,8,6,2,0,2
2005-09-20,66.5025,1.59958125E7,62.266273290762975,8,6,2,1,5
2006-01-24,91.89124999999999,2.1981525E7,52.87698961053732,8,3,5,1,2
2006-12-12,95.06124999999999,1.8500375E7,36.42921146275062,8,1,7,2,0
2007-01-03,92.27875,2.49973375E7,43.173993789991215,8,1,7,0,0
2008-02-06,103.20874999999998,3.382455E7,36.94990096910491,8,1,7,4,0
2008-07-25,108.26124999999999,1.78314625E7,43.39954528066947,8,3,5,0,0
2010-02-18,131.545875,1.60424625E7,53.16426955019716,8,7,1,0,0
2011-08-05,177.95444444444445,2.8747366666666668E7,40.74491354378791,9,0,9,1,0
2012-05-31,168.036,2.199668E7,39.049727723071484,10,1,9,1,0
2012-11-14,172.58908,3.908852E7,42.231056303089346,10,3,7,2,0
2016-01-13,195.658,2.31542359E7,29.04446749162445,10,0,10,7,0
2016-09-23,236.40899999999996,2.04714567E7,51.71858633368417,10,6,4,1,0
2017-02-28,261.58900000000006,2.41001701E7,59.7888558769612,10,6,4,1,4
2017-03-28,267.362,1.36768217E7,59.604380503250525,10,7,3,0,3
2017-09-21,315.52000000000004,2.75841667E7,50.34653928346875,10,7,3,1,1
2018-01-23,396.517,1.78823619E7,82.0656056882878,10,10,0,0,8
2018-04-18,404.293,1.4388544E7,66.5839477865303,10,10,0,0,3
2021-01-25,814.25,3.34088805E7,61.90202453221131,10,10,0,0,2
2021-07-19,905.1379999999999,2.65922606E7,48.5965779420748,10,4,6,0,0
2023-05-03,195.01,4.8520078E7,47.04097296914988,10,5,5,3,0
2025-02-06,375.111,5.45713653E7,58.944039947399816,10,4,6,0,3
1999-11-03,57.612,8478060.0,65.0666666666666,5,3,2,2,3
2000-04-12,79.962,2.001204E7,39.75090087200972,5,1,4,2,1
2000-06-13,85.25399999999999,6827240.0,61.52269890508897,5,4,1,0,0
2001-01-05,26.630000000000003,1.398068E7,45.68983892004633,5,3,2,0,0
2002-08-12,17.758333333333333,7130650.0,44.70419613548872,6,3,3,2,0
2003-11-28,31.465,7148283.333333333,48.080939090575924,6,3,3,0,0
2004-05-04,26.566666666666674,1.41137E7,35.62420077035528,6,1,5,3,0
2005-06-09,58.372499999999995,1.5103125E7,60.75903470503151,8,5,3,0,3
2007-07-26,110.86125000000001,3.4591025E7,48.979559373561656,8,2,6,1,1
2008-04-25,119.0925,2.8199025E7,55.69699656367581,8,6,2,0,0
2009-12-11,136.49875,1.29397875E7,57.14063884561865,8,5,3,1,3
2011-04-29,171.54777777777778,4.530795555555555E7,58.255486770155116,9,7,2,0,2
2011-08-16,173.35,1.4651155555555556E7,37.306345571511066,9,0,9,0,0
2012-05-10,189.07000000000005,1.3765711111111112E7,39.07308967105615,9,3,6,4,1
2012-06-06,167.632,1.601708E7,42.5027057063034,10,2,8,1,0
2015-10-30,206.09099999999998,1.7115373E7,65.20302570342801,10,9,1,0,5
2015-12-29,223.291,1.1668715E7,51.5519583610616,10,8,2,1,1
2016-04-22,209.26800000000003,3.82730265E7,48.77953014376438,10,5,5,0,1
2016-06-16,215.14000000000001,1.40478819E7,41.27296030888697,10,3,7,2,0
2016-09-30,238.96300000000002,1.67185358E7,60.982419944019306,10,8,2,0,4
2017-08-10,306.36699999999996,2.17479636E7,38.08179306180991,10,3,7,4,0
2018-02-26,415.21999999999997,1.63342103E7,66.81728616597914,10,10,0,0,2
2021-02-02,822.698,2.07924559E7,61.69824218110172,10,9,1,0,3
2022-02-16,852.137,3.62689016E7,56.43770282452785,10,5,5,1,0
2022-08-11,245.93400000000003,3.35244805E7,63.88512242307379,10,9,1,0,3
2024-08-12,279.71099999999996,5.45867203E7,37.657296586095065,10,3,7,4,0
2024-09-30,311.80500000000006,4.83237972E7,75.5065325115296,10,10,0,0,5
2000-04-10,88.438,9166980.0,48.65029218446011,5,2,3,0,1
2000-08-14,56.438,8455740.0,46.446848727220306,5,3,2,0,0
2001-01-11,31.238,1.779726E7,68.68935485146066,5,4,1,0,3
2001-01-24,36.552,1.784652E7,72.98051774458818,5,5,0,0,3
2001-05-08,45.924,1.294366E7,57.75699845843394,5,5,0,0,0
2001-11-01,29.080000000000002,1.685104E7,56.290869660015254,5,4,1,0,0
2002-05-28,26.155,7699833.333333333,52.80782598650497,6,2,4,1,0
2002-07-08,21.823333333333334,9712316.666666666,40.73962486255735,6,1,5,1,1
